11/08/2026
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
500002	ABB India Limited	2119.08375
500003	Aegis Logistics Ltd.	3510.00000
500008	Amara Raja Energy & Mobility L	1830.25364
500009	Ambalal Sarabhai Enterprise Lt	766.33296
500012	Andhra Petrochemicals Ltd.	849.71600
500013	Ansal Properties & Infrastruct	1574.02276
500014	UTIQUE ENTERPRISES LIMITED	556.73122
500016	Aruna Hotels Ltd.	339.00000
500020	Bombay Dyeing & Mfg. Co. Ltd.	2065.34900
500023	Asian Hotels (North) Limited	426.33229
500027	Atul Limited.	294.41755
500028	ATV Projects India Ltd	531.17425
500031	Bajaj Electricals Ltd.	1153.92769
500032	Bajaj Hindusthan Sugar Limited	23906.66041
500033	Force Motors Limited	130.32914
500034	Bajaj Finance Limited	62259.57004
500038	BALRAMPUR CHINI MILLS LTD	2114.67114
500039	Banco Products (India) Ltd.	1430.37300
500040	ADITYA BIRLA REAL ESTATE LIMIT	1116.95680
500041	Bannari Amman Sugars Ltd.	125.39700
500042	BASF India Ltd	432.85640
500043	Bata India Limited	1285.27540
500048	BEML Ltd	832.89000
500049	Bharat Electronics Ltd.	73097.78829
500051	Bhagawati Gas Limited	167.42166
500052	Bhansali Engineering Polymers	2488.58460
500058	Bihar Sponge Iron Ltd	902.05403
500059	BIL VYAPAR LIMITED	313.66175
500060	Birla Cable Limited	300.00000
500067	Blue Star Ltd	2056.14788
500068	Disa India Ltd.	14.54205
500069	QUEST CAPITAL MARKETS LIMITED	100.00000
500074	BPL Ltd.	489.75751
500078	ORIENTAL AROMATICS LIMITED	336.53576
500083	Century Extrusions Ltd.	800.00000
500084	CESC Limited	13255.70430
500085	Chambal Fertilisers & Chemical	4006.50517
500086	Exide Industries Ltd.	8500.00000
500087	Cipla Ltd.	8078.45316
500089	DIC India Ltd	91.78977
500092	CRISIL Ltd.	731.30017
500093	CG Power and Industrial Soluti	15752.32059
500096	Dabur India Ltd.	17739.52388
500097	Dalmia Bharat Sugar and Indust	809.39303
500101	Arvind Ltd.	2720.40630
500102	Ballarpur Industries Ltd.	12934.55756
500103	Bharat Heavy Electricals Ltd.	34820.63355
500104	Hindustan Petroleum Corporatio	21278.22517
500106	IFCI Ltd.	26943.14331
500108	Mahanagar Telephone Nigam Ltd.	6300.00000
500109	Mangalore Refinery & Petrochem	17525.98777
500110	Chennai Petroleum Corporation	1489.11400
500112	State Bank Of India	92306.17586
